CODE,SERVICE DESCRIPTION,,
740,Anesthesia for procedure on gastrointestinal tract using an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
750,Anesthesia for procedure to repair upper abdominal hernia,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
752,Anesthesia for procedure to repair upper abdominal incisional hernia and/or wound opening,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
754,Anesthesia for procedure to repair upper abdominal hernia present at birth,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
756,Anesthesia for procedure to repair abdominal hernia,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
770,Anesthesia for procedure on major abdominal blood vessels,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
790,Anesthesia for procedure in upper abdomen including use of an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
792,Anesthesia for partial removal of liver or management of bleeding including use of an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
794,Anesthesia for removal of pancreas including use of an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
796,Anesthesia for liver transplant recipient including use of an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
797,Anesthesia for procedure on stomach for obesity including use of an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
800,Anesthesia for procedure on lower front abdominal wall,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
802,Anesthesia for removal of excess tissue on lower abdominal wall,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
810,Anesthesia for procedure on lower intestine using an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
820,Anesthesia for procedure on lower rear abdominal wall,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
830,Anesthesia for lower abdominal hernia repair,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
832,Anesthesia for middle or incisional abdominal hernia repair,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
834,"Anesthesia for lower abdominal hernia repair, child younger than 1 year of age",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
836,"Anesthesia for lower abdominal hernia repair, infants younger than 37 weeks gestational age at birth and younger than 50 weeks gestational age at time of surgery",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
840,Anesthesia for procedure in lower abdominal cavity including use of an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
842,Anesthesia for removal of amniotic fluid in uterus including use of an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
844,Anesthesia for procedure in lower abdominal cavity and rectum including use of an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
846,Anesthesia for removal of uterus including use of an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
848,Anesthesia for removal of pelvic organs including use of an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
851,Anesthesia for tying or incision of fallopian tubes using an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
860,Anesthesia for procedure in lower abdomen including urinary tract,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
862,Anesthesia for procedure on upper urinary duct (ureter) or removal of kidney for transplant,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
864,Anesthesia for removal of urinary bladder,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
865,Anesthesia for removal of prostate,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
866,Anesthesia for removal of adrenal gland,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
868,Anesthesia for kidney transplant,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
870,Anesthesia for removal of urinary bladder stone,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
872,Anesthesia for shock wave therapy for urinary system stones,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
873,Anesthesia for shock wave therapy for urinary system stones,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
880,Anesthesia for procedure on major lower abdominal wall blood vessels,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
902,Anesthesia for procedure on anus and rectum,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
904,Anesthesia for procedure on perineum,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
906,Anesthesia for removal of external female genitalia,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
908,Anesthesia for removal of prostate,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
910,Anesthesia for procedure on urinary system including use of an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
912,Anesthesia for removal of urinary bladder tumors including use of an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
914,Anesthesia for removal of prostate including use of an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
916,Anesthesia for procedure to control urinary system bleeding including use of an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
918,"Anesthesia for fragmenting, manipulation and/or removal of kidney stone including use of an endoscope",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
920,Anesthesia for procedure on male genitalia,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
921,Anesthesia for vasectomy,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
922,Anesthesia for procedure on male genitalia glands,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
924,Anesthesia for repair of undescended testicle,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
926,Anesthesia for removal of testicle through groin,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
928,Anesthesia for removal of testicle through abdomen,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
930,Anesthesia for relocation of undescended testicle into scrotum,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
932,Anesthesia for removal of penis,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
934,Anesthesia for removal of penis and lymph nodes on both sides of groin,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
936,Anesthesia for removal of penis and lymph nodes on both sides of groin,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
938,Anesthesia for insertion of penile prosthesis,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
940,"Anesthesia for vaginal biopsy of cervix, uterine lining, or external genitalia",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
942,Anesthesia for repair or removal of vagina and urinary procedure,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
944,Anesthesia for vaginal removal of uterus,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
948,Anesthesia for suture closure of cervix,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
950,Anesthesia for examination of cervix using an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
952,Anesthesia for examination of uterus using an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1951,"Anesthesia for treatment of second and third-degree burn, less than 4% total body surface",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1952,"Anesthesia for treatment of second and third-degree burn, between 4% and 9%
 total body surface area",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1953,Anesthesia for treatment of second and third-degree burn,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1958,Anesthesia for procedure to turn the position of fetus in uterus,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1960,Anesthesia for vaginal delivery,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1961,Anesthesia for cesarean delivery,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1962,Anesthesia for procedure to remove uterus following delivery,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1963,Anesthesia for cesarean removal of uterus,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1965,Anesthesia for incomplete or missed abortion,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1966,Anesthesia for induced abortion,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1967,Anesthesia for labor during planned vaginal delivery,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1968,Anesthesia for cesarean delivery following labor,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1969,Anesthesia for cesarean removal of uterus following labor,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1990,Physiological support for harvesting of organs,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
