CODE,SERVICE DESCRIPTION,Category,Section
11044,In Growing Nail Excision,Neurosurgical,FOOT AND TOES
27605,ETA and Pmr,Neurosurgical,FOOT AND TOES
27687,Bilateral PCT,Neurosurgical,FOOT AND TOES
27805,Ankle Foot Orthosis,Neurosurgical,FOOT AND TOES
27814,Open Reduction-Weber,Neurosurgical,FOOT AND TOES
27823,Open Reduction-Weber,Neurosurgical,FOOT AND TOES
28400,SD And Calcaneal and Pop,Neurosurgical,FOOT AND TOES
28445,Reconstruction-Talus,Neurosurgical,FOOT AND TOES
28645,Reconstruction-Calcaneum,Neurosurgical,FOOT AND TOES
28715,Tripe Arthropdesis Foot,Neurosurgical,FOOT AND TOES
28750,ARTHRODESIS OF MTPJ 2 and 3rd,Neurosurgical,FOOT AND TOES
28820,Amputation Fore/Mid /Hind Foot,Neurosurgical,FOOT AND TOES
28810,Disarticulation-Phallanges,Neurosurgical,FOOT AND TOES
29058,Fibre Glass Free Casting Tape,Neurosurgical,FOOT AND TOES
29899,Arthrodesis (Triple) Foot,Neurosurgical,FOOT AND TOES
29905,Synovectomy-Arthrotomy,Neurosurgical,FOOT AND TOES
32405,Trephene Needle Biopsy,Neurosurgical,FOOT AND TOES
11300,Excisional Biopsy Foot,Neurosurgical,FOOT AND TOES
26952,Poly Dactyl/Extra Digit Excision Foot,Neurosurgical,FOOT AND TOES
27122,Modified Girdle Stone Right,Neurosurgical,FOOT AND TOES
27606,ETA and Pmr-Clubfoot,Neurosurgical,FOOT AND TOES
28262,BIL ETA/PMR,Neurosurgical,FOOT AND TOES
28615,Orif-Calcaneum,Neurosurgical,FOOT AND TOES
28730,Athrodesis First and Second,Neurosurgical,FOOT AND TOES
